/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
,TARA_20170927T0138Z_D_S-SRF_ZODIAC-PUMP (OA000-I21-S03) * LATITUDE START: -22.564933 * LONGITUDE START: 166.474900 * LATITUDE END: -22.564933 * LONGITUDE END: 166.474900 * DATE/TIME START: 2017-09-27T01:38:00 * DATE/TIME END: 2017-09-27T02:12:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171016T2055Z_D_O-SRF_DOLPHIN-CARBOY (OA154-I00-S00) * LATITUDE START: -13.030333 * LONGITUDE START: 161.530333 * LATITUDE END: -12.978667 * LONGITUDE END: 161.523167 * DATE/TIME START: 2017-10-16T20:55:00 * DATE/TIME END: 2017-10-16T21:26:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171020T2152Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I22-S01) * LATITUDE START: -9.433233 * LONGITUDE START: 159.537767 * LATITUDE END: -9.433233 * LONGITUDE END: 159.537767 * DATE/TIME START: 2017-10-20T21:52:00 * DATE/TIME END: 2017-10-20T22:04:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171021T0454Z_D_S-SRF_ZODIAC-PUMP (OA000-I22-S01) * LATITUDE START: -9.433900 * LONGITUDE START: 159.538300 * LATITUDE END: -9.433900 * LONGITUDE END: 159.538300 * DATE/TIME START: 2017-10-21T04:54:00 * DATE/TIME END: 2017-10-21T05:02:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171022T2351Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I22-S02) * LATITUDE START: -8.602600 * LONGITUDE START: 158.195700 * LATITUDE END: -8.602600 * LONGITUDE END: 158.195700 * DATE/TIME START: 2017-10-22T23:51:00 * DATE/TIME END: 2017-10-23T00:09:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171023T0344Z_D_S-SRF_ZODIAC-PUMP (OA000-I22-S02) * LATITUDE START: -8.602600 * LONGITUDE START: 158.195700 * LATITUDE END: -8.602600 * LONGITUDE END: 158.195700 * DATE/TIME START: 2017-10-23T03:44:00 * DATE/TIME END: 2017-10-23T03:58:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171023T0647Z_D_C-COL_SCUBA-CORER (OA000-I22-S02) * LATITUDE START: -8.595900 * LONGITUDE START: 158.188700 * LATITUDE END: -8.595900 * LONGITUDE END: 158.188700 * DATE/TIME START: 2017-10-23T06:47:00 * DATE/TIME END: 2017-10-23T07:28:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171025T0352Z_D_S-SRF_ZODIAC-PUMP (OA000-I22-S03) * LATITUDE START: -8.028600 * LONGITUDE START: 156.746000 * LATITUDE END: -8.028600 * LONGITUDE END: 156.746000 * DATE/TIME START: 2017-10-25T03:52:00 * DATE/TIME END: 2017-10-25T04:11:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171025T2057Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I22-S03) * LATITUDE START: -8.028600 * LONGITUDE START: 156.746000 * LATITUDE END: -8.028600 * LONGITUDE END: 156.746000 * DATE/TIME START: 2017-10-25T20:57:00 * DATE/TIME END: 2017-10-25T21:11:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171028T2115Z_D_I-SRF_DOLPHIN-CARBOY (OA157-I23-S00) * LATITUDE START: -9.906333 * LONGITUDE START: 152.102167 * LATITUDE END: -9.905833 * LONGITUDE END: 152.063167 * DATE/TIME START: 2017-10-28T21:15:00 * DATE/TIME END: 2017-10-28T21:42:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN (OA000-I23-S14) * LATITUDE START: -9.823420 * LONGITUDE START: 150.817130 * LATITUDE END: -9.823420 * LONGITUDE END: 150.817130 * DATE/TIME START: 2017-11-02T22:30:00 * DATE/TIME END: 2017-11-02T22:30:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-NISKIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171103T2243Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I23-S01) * LATITUDE START: -9.822723 * LONGITUDE START: 150.800100 * LATITUDE END: -9.822723 * LONGITUDE END: 150.800100 * DATE/TIME START: 2017-11-03T22:43:00 * DATE/TIME END: 2017-11-03T22:58:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171104T0346Z_D_S-SRF_ZODIAC-PUMP (OA000-I23-S01) * LATITUDE START: -9.822723 * LONGITUDE START: 150.800100 * LATITUDE END: -9.822723 * LONGITUDE END: 150.800100 * DATE/TIME START: 2017-11-04T03:46:00 * DATE/TIME END: 2017-11-04T04:04:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171105T2308Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I23-S02) * LATITUDE START: -9.343200 * LONGITUDE START: 152.027500 * LATITUDE END: -9.343200 * LONGITUDE END: 152.027500 * DATE/TIME START: 2017-11-05T23:08:00 * DATE/TIME END: 2017-11-05T23:31:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171106T0343Z_D_S-SRF_ZODIAC-PUMP (OA000-I23-S02) * LATITUDE START: -9.343200 * LONGITUDE START: 152.027500 * LATITUDE END: -9.343200 * LONGITUDE END: 152.027500 * DATE/TIME START: 2017-11-06T03:43:00 * DATE/TIME END: 2017-11-06T04:03:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171106T0449Z_D_C-COL_SCUBA-CORER (OA000-I23-S02) * LATITUDE START: -9.342917 * LONGITUDE START: 152.027250 * LATITUDE END: -9.342917 * LONGITUDE END: 152.027250 * DATE/TIME START: 2017-11-06T04:49:00 * DATE/TIME END: 2017-11-06T06:49:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171109T0351Z_D_S-SRF_ZODIAC-PUMP (OA000-I23-S03) * LATITUDE START: -9.233300 * LONGITUDE START: 153.104567 * LATITUDE END: -9.233300 * LONGITUDE END: 153.104567 * DATE/TIME START: 2017-11-09T03:51:00 * DATE/TIME END: 2017-11-09T04:13:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171109T2310Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I23-S03) * LATITUDE START: -9.233300 * LONGITUDE START: 153.104567 * LATITUDE END: -9.233300 * LONGITUDE END: 153.104567 * DATE/TIME START: 2017-11-09T23:10:00 * DATE/TIME END: 2017-11-09T23:28:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171110T2216Z_D_I-SRF_DOLPHIN-CARBOY (OA159-I23-S00) * LATITUDE START: -7.098633 * LONGITUDE START: 152.799033 * LATITUDE END: -7.038667 * LONGITUDE END: 152.786833 * DATE/TIME START: 2017-11-10T22:16:00 * DATE/TIME END: 2017-11-10T22:49:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171112T2259Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I24-S01) * LATITUDE START: -4.883783 * LONGITUDE START: 151.046817 * LATITUDE END: -4.883783 * LONGITUDE END: 151.046817 * DATE/TIME START: 2017-11-12T22:59:00 * DATE/TIME END: 2017-11-12T23:17:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171113T0435Z_D_S-SRF_ZODIAC-PUMP (OA000-I24-S01) * LATITUDE START: -4.883783 * LONGITUDE START: 151.046817 * LATITUDE END: -4.883783 * LONGITUDE END: 151.046817 * DATE/TIME START: 2017-11-13T04:35:00 * DATE/TIME END: 2017-11-13T04:51:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171117T0434Z_D_S-SRF_ZODIAC-PUMP (OA000-I24-S02) * LATITUDE START: -5.091500 * LONGITUDE START: 150.197917 * LATITUDE END: -5.091500 * LONGITUDE END: 150.197917 * DATE/TIME START: 2017-11-17T04:34:00 * DATE/TIME END: 2017-11-17T04:57:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171117T2250Z_D_C-COL_SCUBA-CORER (OA000-I24-S02) * LATITUDE START: -5.091283 * LONGITUDE START: 150.197133 * LATITUDE END: -5.091283 * LONGITUDE END: 150.197133 * DATE/TIME START: 2017-11-17T22:50:00 * DATE/TIME END: 2017-11-18T02:44:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171117T2317Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I24-S02) * LATITUDE START: -5.091500 * LONGITUDE START: 150.197917 * LATITUDE END: -5.091500 * LONGITUDE END: 150.197917 * DATE/TIME START: 2017-11-17T23:17:00 * DATE/TIME END: 2017-11-17T23:27:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171118T0144Z_D_C-COL_SCUBA-CORER (OA000-I24-S02) * LATITUDE START: -5.091283 * LONGITUDE START: 150.197133 * LATITUDE END: -5.091283 * LONGITUDE END: 150.197133 * DATE/TIME START: 2017-11-18T01:44:00 * DATE/TIME END: 2017-11-18T02:44:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171119T0423Z_D_S-SRF_ZODIAC-PUMP (OA000-I24-S03) * LATITUDE START: -5.204667 * LONGITUDE START: 150.379833 * LATITUDE END: -5.204667 * LONGITUDE END: 150.379833 * DATE/TIME START: 2017-11-19T04:23:00 * DATE/TIME END: 2017-11-19T04:49:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171120T0003Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I24-S03) * LATITUDE START: -5.204667 * LONGITUDE START: 150.379833 * LATITUDE END: -5.204667 * LONGITUDE END: 150.379833 * DATE/TIME START: 2017-11-20T00:03:00 * DATE/TIME END: 2017-11-20T00:30:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171120T0513Z_D_C-COL_SCUBA-CORER (OA000-I24-S03) * LATITUDE START: -5.199850 * LONGITUDE START: 150.375900 * LATITUDE END: -5.199850 * LONGITUDE END: 150.375900 * DATE/TIME START: 2017-11-20T05:13:00 * DATE/TIME END: 2017-11-20T06:06:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171222T0022Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I25-S01) * LATITUDE START: 2.955933 * LONGITUDE START: 131.795983 * LATITUDE END: 2.955933 * LONGITUDE END: 131.795983 * DATE/TIME START: 2017-12-22T00:22:00 * DATE/TIME END: 2017-12-22T00:49:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171222T0518Z_D_C-COL_SCUBA-CORER (OA000-I25-S01) * LATITUDE START: 2.955950 * LONGITUDE START: 131.795883 * LATITUDE END: 2.955950 * LONGITUDE END: 131.795883 * DATE/TIME START: 2017-12-22T05:18:00 * DATE/TIME END: 2017-12-22T06:01:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171222T0521Z_D_S-SRF_ZODIAC-PUMP (OA000-I25-S01) * LATITUDE START: 2.956033 * LONGITUDE START: 131.795783 * LATITUDE END: 2.956033 * LONGITUDE END: 131.795783 * DATE/TIME START: 2017-12-22T05:21:00 * DATE/TIME END: 2017-12-22T05:45:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171223T2350Z_D_C-COL_SCUBA-CORER (OA000-I25-S01) * LATITUDE START: 2.882967 * LONGITUDE START: 131.746300 * LATITUDE END: 2.882967 * LONGITUDE END: 131.746300 * DATE/TIME START: 2017-12-23T23:50:00 * DATE/TIME END: 2017-12-24T01:08:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171225T2309Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I25-S02) * LATITUDE START: 2.998367 * LONGITUDE START: 131.125317 * LATITUDE END: 2.998367 * LONGITUDE END: 131.125317 * DATE/TIME START: 2017-12-25T23:09:00 * DATE/TIME END: 2017-12-25T23:22:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171226T0420Z_D_S-SRF_ZODIAC-PUMP (OA000-I25-S02) * LATITUDE START: 2.998367 * LONGITUDE START: 131.125317 * LATITUDE END: 2.998367 * LONGITUDE END: 131.125317 * DATE/TIME START: 2017-12-26T04:20:00 * DATE/TIME END: 2017-12-26T04:37:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171226T2240Z_D_C-CSW-C010_SCUBA-PUMP (OA000-I25-S03) * LATITUDE START: 4.301200 * LONGITUDE START: 132.313383 * LATITUDE END: 4.301200 * LONGITUDE END: 132.313383 * DATE/TIME START: 2017-12-26T22:40:00 * DATE/TIME END: 2017-12-26T23:11:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20171227T0515Z_D_S-SRF_ZODIAC-PUMP (OA000-I25-S03) * LATITUDE START: 4.301200 * LONGITUDE START: 132.313383 * LATITUDE END: 4.301200 * LONGITUDE END: 132.313383 * DATE/TIME START: 2017-12-27T05:15:00 * DATE/TIME END: 2017-12-27T05:43:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
