/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
,TARA_20160621T1258Z_D_O-SRF_DOLPHIN-CARBOY (OA020-I00-S00) * LATITUDE START: 25.795033 * LONGITUDE START: -64.532300 * LATITUDE END: 25.795633 * LONGITUDE END: -64.543983 * DATE/TIME START: 2016-06-21T12:58:00 * DATE/TIME END: 2016-06-21T13:04:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160706T1359Z_D_O-SRF_DOLPHIN-CARBOY (OA027-I00-S00) * LATITUDE START: 24.264250 * LONGITUDE START: -81.250433 * LATITUDE END: 24.250633 * LONGITUDE END: -81.279550 * DATE/TIME START: 2016-07-06T13:59:00 * DATE/TIME END: 2016-07-06T14:12:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160712T1528Z_D_O-SRF_DOLPHIN-CARBOY (OA028-I00-S00) * LATITUDE START: 11.113350 * LONGITUDE START: -80.398083 * LATITUDE END: 11.061300 * LONGITUDE END: -80.408317 * DATE/TIME START: 2016-07-12T15:28:00 * DATE/TIME END: 2016-07-12T16:06:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160718T1408Z_D_C-CSW-C010_SCUBA-PUMP (OA000-I01-S02) * LATITUDE START: 8.597767 * LONGITUDE START: -79.024933 * LATITUDE END: 8.597767 * LONGITUDE END: -79.024933 * DATE/TIME START: 2016-07-18T14:08:00 * DATE/TIME END: 2016-07-18T14:27:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160723T1328Z_D_C-COL_SCUBA-CORER (OA000-I02-S03) * LATITUDE START: 7.222720 * LONGITUDE START: -81.800078 * LATITUDE END: 7.222720 * LONGITUDE END: -81.800078 * DATE/TIME START: 2016-07-23T13:28:00 * DATE/TIME END: 2016-07-23T13:28:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160723T1521Z_D_S-SRF_ZODIAC-PUMP (OA000-I02-S03) * LATITUDE START: 7.209200 * LONGITUDE START: -81.796200 * LATITUDE END: 7.209200 * LONGITUDE END: -81.796200 * DATE/TIME START: 2016-07-23T15:21:00 * DATE/TIME END: 2016-07-23T15:27:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160725T1541Z_D_S-SRF_ZODIAC-PUMP (OA000-I01-S03) * LATITUDE START: 8.650100 * LONGITUDE START: -79.033900 * LATITUDE END: 8.650100 * LONGITUDE END: -79.033900 * DATE/TIME START: 2016-07-25T15:41:00 * DATE/TIME END: 2016-07-25T15:46:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160818T1624Z_D_O-SRF_DOLPHIN-CARBOY (OA031-I00-S00) * LATITUDE START: -0.062133 * LONGITUDE START: -84.625250 * LATITUDE END: -0.074383 * LONGITUDE END: -84.631483 * DATE/TIME START: 2016-08-18T16:24:00 * DATE/TIME END: 2016-08-18T16:30:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160824T1457Z_D_O-SRF_DOLPHIN-CARBOY (OA036-I00-S00) * LATITUDE START: -13.742233 * LONGITUDE START: -96.403400 * LATITUDE END: -13.746433 * LONGITUDE END: -96.403833 * DATE/TIME START: 2016-08-24T14:57:00 * DATE/TIME END: 2016-08-24T15:01:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160831T0157Z_N_I-SRF_DOLPHIN-CARBOY (OA042-I04-S00) * LATITUDE START: -26.538250 * LONGITUDE START: -109.525583 * LATITUDE END: -26.502250 * LONGITUDE END: -109.517583 * DATE/TIME START: 2016-08-31T01:57:00 * DATE/TIME END: 2016-08-31T02:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160903T1525Z_D_C-COL_SCUBA-CORER (OA000-I04-S01) * LATITUDE START: -27.068765 * LONGITUDE START: -109.323341 * LATITUDE END: -27.068765 * LONGITUDE END: -109.323341 * DATE/TIME START: 2016-09-03T15:25:00 * DATE/TIME END: 2016-09-03T15:25:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160903T2124Z_D_S-SRF_ZODIAC-PUMP (OA000-I04-S01) * LATITUDE START: -27.068567 * LONGITUDE START: -109.326683 * LATITUDE END: -27.068567 * LONGITUDE END: -109.326683 * DATE/TIME START: 2016-09-03T21:24:00 * DATE/TIME END: 2016-09-03T21:43:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160907T1436Z_D_C-COL_SCUBA-CORER (OA000-I04-S04) * LATITUDE START: -27.147855 * LONGITUDE START: -109.439301 * LATITUDE END: -27.147855 * LONGITUDE END: -109.439301 * DATE/TIME START: 2016-09-07T14:36:00 * DATE/TIME END: 2016-09-07T14:36:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
